,Job_URL,Date_Posted,Job_Title,Location
48,https://www.merckgroup.com/en/careers/jobs/270912.html?location=Switzerland&state=Vaud&city=Corsier-sur-Vevey&functionalarea=No Functional Area,Posted 12 Jan 2024,Internship - USP Design (m/f/d),"Corsier-sur-Vevey, Vaud, Switzerland"
49,https://www.merckgroup.com/en/careers/jobs/270656.html?location=Philippines&state=Metro Manila&city=Bonifacio Global City&functionalarea=Commercial,Posted 12 Jan 2024,Product Science Specialist,"Bonifacio Global City, Metro Manila, Philippines"
50,https://www.merckgroup.com/en/careers/jobs/271179.html?location=Japan&state=Tokyo&city=Tokyo&functionalarea=Information Technology,Posted 12 Jan 2024,IT Business Partner Semiconductor Japan/ EF (Tokyo) 1,"Tokyo, Tokyo, Japan"
51,https://www.merckgroup.com/en/careers/jobs/270687.html?location=Taiwan&state=Hsinchu County&city=Hsinchu&functionalarea=Commercial,Posted 12 Jan 2024,"Commercial Director, DS&S, Asia excl. Korea","Hsinchu, Hsinchu County, Taiwan"
52,https://www.merckgroup.com/en/careers/jobs/270344.html?location=Poland&state=Dolnoslaskie&city=Wroclaw&functionalarea=Legal,Posted 12 Jan 2024,Junior Patent Documentation Specialist (all genders),"Wroclaw, Dolnoslaskie, Poland"
53,https://www.merckgroup.com/en/careers/jobs/271044.html?location=Philippines&state=Metro Manila&city=Bonifacio Global City&functionalarea=Finance,Posted 12 Jan 2024,"Global Test Coordinator, Finance","Bonifacio Global City, Metro Manila, Philippines"
54,https://www.merckgroup.com/en/careers/jobs/271155.html?location=Spain&state=Madrid&city=Madrid&functionalarea=Commercial,Posted 12 Jan 2024,Strategic Insights & Forecasting Analyst,"Madrid, Madrid, Spain"
55,https://www.merckgroup.com/en/careers/jobs/271166.html?location=Republic of Korea&state=Gyeonggi-do&city=Ansan-Si&functionalarea=Administration & Services,Posted 12 Jan 2024,"EHS Specialist (보건안전, 신입 가능, 경력 5년 이내)","Ansan-Si, Gyeonggi-do, Republic of Korea"
56,https://www.merckgroup.com/en/careers/jobs/270126.html?location=Singapore&state=Singapore&city=Singapore&functionalarea=Strategy & Business Development,Posted 12 Jan 2024,Associate - Inhouse Consulting,"Singapore, Singapore, Singapore"
57,https://www.merckgroup.com/en/careers/jobs/271037.html?location=Singapore&state=Singapore&city=Singapore&functionalarea=Manufacturing,Posted 12 Jan 2024,Associate Scientist,"Singapore, Singapore, Singapore"
58,https://www.merckgroup.com/en/careers/jobs/270268.html?location=Philippines&state=Metro Manila&city=Bonifacio Global City&functionalarea=Human Resources,Posted 12 Jan 2024,Country HR Lead & HR Business Partner,"Bonifacio Global City, Metro Manila, Philippines"
59,https://www.merckgroup.com/en/careers/jobs/270698.html?location=Philippines&state=Metro Manila&city=Bonifacio Global City&functionalarea=Human Resources,Posted 12 Jan 2024,"Business Process Expert, Position Management","Bonifacio Global City, Metro Manila, Philippines"
60,https://www.merckgroup.com/en/careers/jobs/271165.html?location=Republic of Korea&state=North Chungcheong&city=Eumseong&functionalarea=Engineering & Skilled Trade,Posted 12 Jan 2024,"Facility Manager (15년 이상, electricity, machinery, firefighting, gas, HVAC system)","Eumseong, North Chungcheong, Republic of Korea"
